PROV,DISTRICT,DIST,WARD,DISTRICT_clean,latitude,longitude
Central,Chibombo,CHIBOMBO,CHIBOMBO,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,CHIKOBO,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,CHILOCHABALENJE,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,CHOLOKELO,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,CHUNGA,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,KABILE,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,KAKOMA,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,KALOLA,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,KAMAILA,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,KATUBA,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,KEEMBE,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,MALAMBANYAMA,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,MASHIKILI,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,MUCHENJE,Chibombo,-14.857,27.64
Central,Chibombo,CHIBOMBO,MUUNDU,Chibombo,-14.857,27.64
Central,Chisamba,CHISAMBA,CHIKONKOMENE,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,CHISAMBA,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,KAMANO,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,LITETA,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,MONANGOMBE,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,MULUNGUSHI,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,MUSWISHI,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,MUTENGA,Chisamba,-14.772,28.459
Central,Chisamba,CHISAMBA,MWAPULA,Chisamba,-14.772,28.459
Central,Chitambo,CHITAMBO,CHALILO,Chitambo,-12.543,30.4
Central,Chitambo,CHITAMBO,KANONA,Chitambo,-12.543,30.4
Central,Chitambo,CHITAMBO,NAKATAMBO,Chitambo,-12.543,30.4
Central,Kabwe,KABWE,BWACHA,Kabwe,-14.458,28.4
Central,Kabwe,KABWE,KALONGA,Kabwe,-14.458,28.4
Central,Kabwe,KABWE,LUANSASE,Kabwe,-14.458,28.4
Central,Kabwe,KABWE,MPIMA,Kabwe,-14.458,28.4
Central,Kabwe,KABWE,MUWOWO EAST,Kabwe,-14.458,28.4
Central,Kabwe,KABWE,WAYA,Kabwe,-14.458,28.4
Central,Kapiri Mposhi,KAPIRI MPOSHI,CHANG'ONDO,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,KAKWELESA,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,KAPIRI MPOSHI,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,KASHITU,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,LUKANGA,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,LUNCHU,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,LUNSEMFWA,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,MUBOFWE,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,MUNGA,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,MUSHIMBILI,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,MUTETESHI,Kapiri Mposhi,-14.196,28.487
Central,Kapiri Mposhi,KAPIRI MPOSHI,NCHEMBWE,Kapiri Mposhi,-14.196,28.487
Central,Luano,LUANO,KAMIMBYA,Luano,-14.461,29.568
Central,Luano,LUANO,KATUKUTU,Luano,-14.461,29.568
